0.74,-0.53669,-3.5922,-1.3143,10.014,0.086986,1.4767,0.018412,1.0488,-0.70033,-0.0015584,-1.7468,-0.0011588,1.0465,-0.53796,-0.18501,-0.062108,0.043282,-0.069976,0.032387,0.007987,-0.089705,-7.391,-12.219,-4.11,-13.471,-2.9949,1.3113,-13.888,0.49581,3.5471,1.2249,-10.016,-0.098704,-1.4821,-0.01709,1.0497,-0.70004,-0.0017832,-1.7465,-0.0013261,1.0464,-0.53754,1.0506,-0.69981,-0.0020273,-1.7462,-0.0015073,1.0464,-0.53719,5.5511e-17,-2.1906,-0.15857,9.9465,0.23637,1.6098,-1.9911e-07,0.20843,0.083679,-1.8731,-0.0032136,0.0051245,-1.251e-08
0.745,-0.62503,-3.7084,-1.5083,10.021,0.062301,1.4652,0.021257,1.0479,-0.70068,-0.0013564,-1.7472,-0.0010091,1.0465,-0.53846,-0.19395,-0.075638,0.03838,-0.084996,0.028265,0.0094175,-0.10568,-8.9407,-13.53,-4.9017,-15.02,-4.1226,1.4305,-15.974,0.59295,3.6718,1.4378,-10.026,-0.071366,-1.4706,-0.020224,1.0488,-0.70033,-0.0015584,-1.7468,-0.0011588,1.0465,-0.53796,1.0497,-0.70004,-0.0017832,-1.7465,-0.0013261,1.0464,-0.53754,5.5511e-17,-2.1857,-0.16095,9.9468,0.23645,1.6098,-1.5352e-07,0.23593,0.10766,-1.8637,-0.0045406,0.0033717,-9.7593e-09
0.75,-0.70185,-3.8237,-1.677,10.031,0.040608,1.4544,0.023789,1.0469,-0.7011,-0.0011826,-1.7477,-0.00088007,1.0466,-0.53904,-0.2042,-0.090182,0.032546,-0.10133,0.023954,0.011206,-0.12416,-10.252,-14.543,-5.8335,-16.332,-4.3102,1.7881,-18.477,0.67002,3.7868,1.6071,-10.033,-0.049536,-1.4592,-0.022767,1.0479,-0.70068,-0.0013564,-1.7472,-0.0010091,1.0465,-0.53846,1.0488,-0.70033,-0.0015584,-1.7468,-0.0011588,1.0465,-0.53796,0,-2.1798,-0.16303,9.9473,0.23654,1.6098,-1.5794e-07,0.26286,0.12459,-1.8571,-0.0048196,0.0051187,-1.1314e-08
0.755,-0.76804,-3.9245,-1.8226,10.04,0.021752,1.4448,0.025993,1.0458,-0.7016,-0.0010404,-1.7482,-0.00077463,1.0466,-0.53972,-0.21517,-0.10592,0.025689,-0.11897,0.019167,0.013113,-0.14436,-10.967,-15.736,-6.857,-17.643,-4.7873,1.9074,-20.206,0.7411,3.8809,1.7634,-10.033,-0.029452,-1.4482,-0.025084,1.0469,-0.7011,-0.0011826,-1.7477,-0.00088007,1.0466,-0.53904,1.0479,-0.70068,-0.0013564,-1.7472,-0.0010091,1.0465,-0.53846,0,-2.1728,-0.16479,9.9478,0.23664,1.6099,-1.4665e-07,0.28214,0.14154,-1.8497,-0.0053914,0.0036632,-8.2846e-09
0.76,-0.82936,-4.008,-1.9576,10.038,0.0042633,1.4344,0.028019,1.0447,-0.70217,-0.00093359,-1.7489,-0.00069484,1.0467,-0.54051,-0.22721,-0.12237,0.018462,-0.13697,0.013839,0.01502,-0.16612,-12.04,-16.451,-7.2272,-18.001,-5.3277,1.9074,-21.756,0.80286,3.9802,1.8992,-10.042,-0.01168,-1.4388,-0.027169,1.0458,-0.7016,-0.0010404,-1.7482,-0.00077463,1.0466,-0.53972,1.0469,-0.7011,-0.0011826,-1.7477,-0.00088007,1.0466,-0.53904,0,-2.1648,-0.16618,9.9484,0.23676,1.6099,-2.6042e-07,0.30445,0.15415,-1.8428,-0.0047633,0.0050109,-9.7784e-09
0.765,-0.87874,-4.0929,-2.0668,10.052,-0.0095584,1.4275,0.029666,1.0435,-0.70284,-0.00086461,-1.7496,-0.00064387,1.0468,-0.54141,-0.24044,-0.13995,0.010552,-0.15688,0.0076781,0.016809,-0.1896,-13.232,-17.583,-7.9105,-19.908,-6.1611,1.7881,-23.484,0.85888,4.0677,2.0229,-10.053,0.0038945,-1.4306,-0.029013,1.0447,-0.70217,-0.00093359,-1.7489,-0.00069484,1.0467,-0.54051,1.0458,-0.7016,-0.0010404,-1.7482,-0.00077463,1.0466,-0.53972,0,-2.1555,-0.16717,9.9491,0.2369,1.6099,-2.5069e-07,0.32438,0.16595,-1.8375,-0.0050726,0.0060054,-9.945e-09
0.77,-0.92679,-4.1484,-2.1726,10.047,-0.023448,1.4191,0.031258,1.0423,-0.70359,-0.00083653,-1.7505,-0.00062346,1.0469,-0.54243,-0.25392,-0.15819,0.0021642,-0.17679,0.001654,0.018835,-0.21434,-13.471,-18.239,-8.3875,-19.908,-6.0241,2.0266,-24.736,0.90927,4.1266,2.134,-10.048,0.018356,-1.4224,-0.030667,1.0435,-0.70284,-0.00086461,-1.7496,-0.00064387,1.0468,-0.54141,1.0447,-0.70217,-0.00093359,-1.7489,-0.00069484,1.0467,-0.54051,5.5511e-17,-2.145,-0.16775,9.9499,0.23705,1.61,-2.5019e-07,0.33951,0.17768,-1.8328,-0.0054104,0.0058064,-8.7718e-09
0.775,-0.96608,-4.211,-2.2594,10.057,-0.034506,1.4134,0.032574,1.041,-0.70444,-0.00085197,-1.7514,-0.00063603,1.047,-0.54358,-0.26834,-0.17714,-0.0066751,-0.19813,-0.0051449,0.020862,-0.24015,-14.424,-18.954,-8.8393,-21.338,-6.7989,2.0266,-25.809,0.94968,4.1868,2.2233,-10.053,0.02979,-1.4157,-0.03202,1.0423,-0.70359,-0.00083653,-1.7505,-0.00062346,1.0469,-0.54243,1.0435,-0.70284,-0.00086461,-1.7496,-0.00064387,1.0468,-0.54141,5.5511e-17,-2.1332,-0.16786,9.9508,0.23723,1.61,-1.763e-07,0.3526,0.18594,-1.8269,-0.0055004,0.0051428,-8.3289e-09
0.78,-0.99908,-4.2398,-2.3321,10.049,-0.044049,1.407,0.033662,1.0396,-0.70539,-0.00091347,-1.7525,-0.00068308,1.0471,-0.54486,-0.28324,-0.19681,-0.016056,-0.21958,-0.012166,0.023007,-0.26721,-14.901,-19.669,-9.3803,-21.458,-7.0214,2.1458,-27.061,0.98549,4.2422,2.3022,-10.059,0.040072,-1.4097,-0.033238,1.041,-0.70444,-0.00085197,-1.7514,-0.00063603,1.047,-0.54358,1.0423,-0.70359,-0.00083653,-1.7505,-0.00062346,1.0469,-0.54243,-5.5511e-17,-2.1201,-0.16749,9.9518,0.23742,1.6101,-1.2472e-07,0.36556,0.19388,-1.8229,-0.0051627,0.0052267,-8.8942e-09
0.785,-1.0283,-4.2891,-2.3963,10.059,-0.052372,1.4024,0.03467,1.0381,-0.70643,-0.0010232,-1.7536,-0.00076579,1.0472,-0.54628,-0.2985,-0.21666,-0.025788,-0.24199,-0.019465,0.025272,-0.29486,-15.259,-19.848,-9.7324,-22.411,-7.2986,2.265,-27.657,1.0194,4.2655,2.3767,-10.051,0.04988,-1.4038,-0.03435,1.0396,-0.70539,-0.00091347,-1.7525,-0.00068308,1.0471,-0.54486,1.041,-0.70444,-0.00085197,-1.7514,-0.00063603,1.047,-0.54358,0,-2.1056,-0.16661,9.9529,0.23764,1.6101,-1.6505e-07,0.37576,0.20034,-1.8159,-0.0036416,0.0065628,-8.3268e-09
