0.046,0.0093835,5.3475,-0.13969,2.0153,0.058524,1.6293,-0.028222,8.9538e-05,-0.69486,0.002943,-1.0394,-0.011839,0.51026,-0.11704,0.0029699,0.042558,0.0029898,0.10133,-0.037926,-0.27186,-0.33544,-5.377e-06,-0.0029206,3.9116e-05,-0.0063181,-0.00092946,0.0085235,-0.0048131,-0.0098095,-5.4695,0.13993,-1.9475,-0.057697,-1.6341,0.029239,-0.24615,0.04346,-0.92441,3.5071e-05,0.00016621,-0.000124
0.047,0.0091444,5.266,-0.13931,2.059,0.059046,1.6267,-0.027631,9.2503e-05,-0.69482,0.0029461,-1.0393,-0.011878,0.51,-0.11738,0.0029651,0.039697,0.0030331,0.094533,-0.038874,-0.26351,-0.34017,-4.8166e-06,-0.002861,4.3307e-05,-0.0067949,-0.00094809,0.0083447,-0.0047311,-0.0095834,-5.4028,0.13978,-1.9851,-0.05813,-1.6319,0.028702,-0.24281,0.043263,-0.92593,3.5734e-05,0.00016756,-0.00012138
0.048,0.0089718,5.2178,-0.13929,2.0844,0.05939,1.6241,-0.027205,9.5455e-05,-0.69478,0.0029491,-1.0392,-0.011917,0.50975,-0.11772,0.0029516,0.036597,0.0030631,0.088334,-0.039739,-0.25559,-0.34484,-1.3482e-05,-0.0030994,3.0035e-05,-0.0061989,-0.0008652,0.0079274,-0.0046641,-0.0093835,-5.3475,0.13969,-2.0153,-0.058524,-1.6293,0.028222,-0.23801,0.042277,-0.92594,3.3504e-05,0.00016195,-0.00011982
0.049,0.0087471,5.138,-0.13892,2.1239,0.059866,1.6209,-0.026642,9.837e-05,-0.69475,0.0029522,-1.0392,-0.011958,0.5095,-0.11807,0.0029156,0.033855,0.0030887,0.082135,-0.040541,-0.24778,-0.34936,-3.6067e-05,-0.0027418,2.5611e-05,-0.0061989,-0.00080187,0.0078082,-0.0045299,-0.0091444,-5.266,0.13931,-2.059,-0.059046,-1.6267,0.027631,-0.23324,0.041547,-0.92811,3.1963e-05,0.0001579,-0.00011761
0.05,0.0085387,5.0648,-0.13851,2.1577,0.060349,1.617,-0.026107,0.00010125,-0.69472,0.0029553,-1.0391,-0.011999,0.50926,-0.11843,0.0028822,0.031114,0.0031083,0.076294,-0.041338,-0.23973,-0.35376,-3.3324e-05,-0.0027418,1.9558e-05,-0.0058413,-0.00079628,0.0080466,-0.0043958,-0.0089718,-5.2178,0.13929,-2.0844,-0.05939,-1.6241,0.027205,-0.23171,0.041285,-0.92653,3.2951e-05,0.00016809,-0.00011323
0.051,0.0083383,4.9873,-0.13809,2.1939,0.060829,1.6136,-0.025576,0.00010409,-0.69469,0.0029585,-1.039,-0.012041,0.50903,-0.11879,0.0028349,0.028312,0.0031292,0.070333,-0.042116,-0.23234,-0.35815,-4.7359e-05,-0.0028014,2.0955e-05,-0.0059605,-0.00077859,0.007391,-0.0043884,-0.0087471,-5.138,0.13892,-2.1239,-0.059866,-1.6209,0.026642,-0.2254,0.040701,-0.92837,3.1209e-05,0.00015415,-0.00011386
0.052,0.0081552,4.9223,-0.13783,2.2234,0.06125,1.61,-0.025095,0.00010687,-0.69466,0.0029616,-1.0389,-0.012084,0.5088,-0.11915,0.002783,0.025272,0.0031439,0.064373,-0.042872,-0.22483,-0.36251,-5.1929e-05,-0.0030398,1.4668e-05,-0.0059605,-0.0007553,0.0075102,-0.004366,-0.0085387,-5.0648,0.13851,-2.1577,-0.060349,-1.617,0.026107,-0.22134,0.040098,-0.93034,3.0376e-05,0.00015109,-0.00011208
0.053,0.0079399,4.8348,-0.13724,2.2629,0.061767,1.6061,-0.024527,0.00010958,-0.69464,0.0029647,-1.0389,-0.012128,0.50858,-0.11951,0.0027097,0.022471,0.0031488,0.058412,-0.043559,-0.21762,-0.36674,-7.3276e-05,-0.0028014,4.8894e-06,-0.0059605,-0.00068732,0.0072122,-0.0042245,-0.0083383,-4.9873,0.13809,-2.1939,-0.060829,-1.6136,0.025576,-0.21695,0.039425,-0.92797,2.9147e-05,0.00015025,-0.00010931
0.054,0.0077523,4.7599,-0.13684,2.2955,0.062212,1.6022,-0.024024,0.00011221,-0.69462,0.0029679,-1.0388,-0.012172,0.50837,-0.11989,0.0026285,0.019491,0.0031504,0.052571,-0.044213,-0.21064,-0.37089,-8.1214e-05,-0.0029802,1.6298e-06,-0.0058413,-0.00065379,0.0069737,-0.00415,-0.0081552,-4.9223,0.13783,-2.2234,-0.06125,-1.61,0.025095,-0.21248,0.03876,-0.92855,2.7754e-05,0.00014346,-0.00010827
0.055,0.0075553,4.6841,-0.13635,2.3274,0.062664,1.5979,-0.02351,0.00011473,-0.6946,0.002971,-1.0388,-0.012217,0.50817,-0.12026,0.002524,0.016451,0.0031374,0.04673,-0.044804,-0.20343,-0.37494,-0.00010443,-0.0030398,-1.3039e-05,-0.0058413,-0.00059139,0.0072122,-0.0040457,-0.0079399,-4.8348,0.13724,-2.2629,-0.061767,-1.6061,0.024527,-0.20882,0.038095,-0.92686,2.7075e-05,0.00014731,-0.00010463
0.056,0.0073535,4.5952,-0.13565,2.3653,0.063177,1.5938,-0.022962,0.00011715,-0.69459,0.0029742,-1.0387,-0.012262,0.50797,-0.12064,0.0024171,0.01353,0.0031227,0.040889,-0.045381,-0.19681,-0.37894,-0.00010689,-0.0029206,-1.4668e-05,-0.0058413,-0.00057649,0.0066161,-0.004001,-0.0077523,-4.7599,0.13684,-2.2955,-0.062212,-1.6022,0.024024,-0.20398,0.03764,-0.9269,2.6109e-05,0.00014021,-0.00010405
0.057,0.0071671,4.5145,-0.13518,2.3985,0.063643,1.5894,-0.022445,0.00011945,-0.69458,0.0029773,-1.0387,-0.012308,0.50778,-0.12102,0.0023028,0.010431,0.0031162,0.035048,-0.045974,-0.19008,-0.38291,-0.00011438,-0.0030994,-6.5193e-06,-0.0058413,-0.00059325,0.0067353,-0.0039712,-0.0075553,-4.6841,0.13635,-2.3274,-0.062664,-1.5979,0.02351,-0.20041,0.037274,-0.92824,2.6494e-05,0.00013986,-0.00010166
